1.4
[Horizontals]
257|  5A   | 12 |high| -8  |   -2  |   +2  |8 |4 |3|40 |28 | 0 |Ω |
257|  5A   | 12 |high| -8  |   -2  |   +2  |8 |4 |3|40 |28 | 0 |Ω Ω |
258|  5A.  | 22 |high| -12 |   +2  |       |18|4 |5|64 |42 |-12| |
257|  5A   | 12 |high| -8  |   -2  |   +2  |8 |4 |3|40 |28 | 0 |Ω |
257|  5A   | 12 |high| -8  |   -2  |   +2  |8 |4 |3|40 |28 | 0 |Ω Ω |
260|  5AK  | 28 |mid| -8  |   +6  |       |18|6 |3|56 |28 | 9 | |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω Ω |
262|  6AA  | 50 |mid| -31 |  -16  |       |10|4 |3|95 |45 | 5 | |
263| 6AA.  | 68 |high| -4  |   +6  |       |20|10|4|101|33 | 3 |Ω |
263| 6AA.  | 68 |high| -4  |   +6  |       |20|10|4|101|33 | 3 |Ω Ω |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω Ω |
266|  6AK  | 17 |high| +2  |   +6  |       |18|7 |2|50 |33 | 1 | |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω Ω |
267| 6[A]  | 20 |high| -16 |   -4  |       |18|10|3|64 |44 |-15| |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω |
261|  6A   | 16 |high| -16 |  -12  |   -2  |12|4 |3|50 |34 | 0 |Ω Ω |
267| 6[A]  | 20 |high| -16 |   -4  |       |18|10|3|64 |44 |-15| |
FDO:p2:281|  ???  | 0  |  | +0  |   +0  |       |  |22| |105|-1 | 0 |TC[61-99] |
268| 6[A]. | 0  |  | +0  |   +0  |       |  |7 | |85 |-1 |-49| |
270|  3A   | 18 |mid| -6  |STN +12|       |18|4 |2|51 |33 | 0 | |
270|  3A   | 18 |mid| -6  |STN +12|       |18|4 |2|51 |33 | 0 | |
271| 3[A]  | 22 |mid| -12 |   +0  |       |16|4 |3|57 |35 |-24|Ω |
271| 3[A]  | 22 |mid| -6  |   +4  |       |20|4 |3|57 |35 |-24|Ω Ω |
272|  2A   | 16 |slow| -10 |   -2  |       |10|3 |3|47 |31 | 0 |TC[8-] |
273|  1A   | 26 |low| -18 |   -4  |       |12|4 |8|63 |37 | 0 |TC[10-] GRND |
274|  1AA  | 7  |low| -14 |   -2  |       |12|10|5|43 |36 | 5 |TC[0-] GRND |
275|  4A   | 20 |high| -9  |   +1  |       |8 |4 |4|58 |38 | 0 | |
276|  4A.  | 36 |high| +0  |   +8  |       |12|10|2|62 |26 |-17|Ω |
276|  4A.  | 36 |high| +0  |   +8  |       |12|10|2|62 |26 |-17|Ω Ω |
275|  4A   | 20 |high| -9  |   +1  |       |8 |4 |4|58 |38 | 0 | |
276|  4A.  | 36 |high| +0  |   +8  |       |12|10|2|62 |26 |-17|Ω |
276|  4A.  | 36 |high| +0  |   +8  |       |12|10|2|62 |26 |-17|Ω Ω |
279| 4A[A] | 0  |  | +0  |   +0  |       |  |16| |39 |-1 |-28| |
2:0 1:35 s:35 b:27 |
499|66[K]. | 0  |  | +0  |   +0  |       |  |4 | |70 |-1 |-28| |
280|  ???  | 54 |UB_high_41| -23 |KND -13|       |100|25|13|96 |42 | 0 |TJ[47-73] TC[7-46] |
380|  3A   | 16 |slow| -10 |   -2  |       |10|3 |3|47 |31 | 0 |TC[0-9] TC[17-] |
387|  5A   | 20 |high| -4  |   +8  |STN +8 |30|4 |3|50 |30 | 0 |TC[0-5] |
387|  5A   | 20 |high| -4  |   +8  |STN +8 |30|4 |3|50 |30 | 0 |TC[0-5] |
388| 5[A]  | 22 |high| -16 |   -2  |       |14|10|5|59 |37 |-27| |
398|  9A   | 28 |mid| -12 |   +4  |       |24|4 |4|59 |31 | 0 |TJ[7-27] Ω |
398|  9A   | 28 |mid| -12 |   +4  |       |24|4 |4|59 |31 | 0 |TJ[7-27] Ω Ω |
410|  btA  | 12 |high| -14 |STN +7 |       |19|7 |2|56 |44 | 0 | |
413|  btA  | 22 |low| -16 |   -8  |   +2  |8 |5 |5|60 |38 | 0 |TC[16-54] GI{hvk}[15-21] GRND Ω |
413|  btA  | 22 |low| -16 |   +2  |       |8 |5 |5|60 |38 | 0 |TC[16-54] GI{hvk}[15-21] GRND Ω Ω |
414| btAB  | 24 |mid| -14 |LNC -4 |       |22|10|4|57 |33 |11 |TC[0-13] |
400|  7A   | 28 |mid| -12 |   +4  |       |20|4 |4|59 |31 | 0 |TJ[7-27] Ω |
400|  7A   | 28 |mid| -12 |   +4  |       |20|4 |4|59 |31 | 0 |TJ[7-27] Ω Ω |
Couldn't find route from 400 to 399 |
399|  8A   | 28 |mid| -12 |   +4  |       |22|4 |4|59 |31 | 0 |TJ[7-27] Ω |
399|  8A   | 28 |mid| -12 |   +4  |       |22|4 |4|59 |31 | 0 |TJ[7-27] Ω Ω |

[Verticals]
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
283|  5BB  | 39 |mid| -10 |   -4  |       |16|5 |4|72 |33 | 4 |GRND |
284| 5BBB  | 0  |  | +0  |   +0  |       |  |5 | |60 |-1 |-8 | |
Couldn't find route from 284 to 374 |
374| B+G.? | 16 |mid| -8  |   +4  |       |35|40|2|51 |35 | 0 |Ω |
374| B+G.? | 15 |mid| -9  |   +3  |       |35|40|3|51 |36 | 0 |Ω Ω |
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
283|  5BB  | 39 |mid| -10 |   -4  |       |16|5 |4|72 |33 | 4 |GRND |
284| 5BBB  | 0  |  | +0  |   +0  |       |  |5 | |60 |-1 |-8 | |
Couldn't find route from 284 to 376 |
376| B+G.? | 16 |mid| +24 |  +24  |       |45|50|2|51 |35 | 0 |Ω |
376| B+G.? | 15 |mid| +23 |  +23  |       |45|50|3|51 |36 | 0 |Ω Ω |
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
285| 5[B]  | 15 |mid| -18 |   -8  |       |14|7 |5|56 |41 |-21|GRND |
286| 5[B]. | 19 |mid| -20 |  -10  |       |18|7 |3|68 |49 | 4 |GRND Ω |
286| 5[B]. | 18 |mid| -21 |  -11  |       |18|7 |4|68 |50 | 3 |GRND Ω Ω |
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
287|  5BA  | 18 |high| -8  |STN -5 |       |30|10|3|52 |34 |-15| |
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
287|  5BA  | 18 |high| -8  |STN -5 |       |30|10|3|52 |34 |-15| |
288| 5B[A] | 12 |high| -5  |   +9  |       |12|4 |6|40 |28 |-23| |
289|5B[A]. | 22 |mid| -10 |   +6  |       |12|4 |3|55 |33 |-4 | |
282|  5B   | 16 |mid| -10 |   -4  |       |12|7 |2|46 |30 | 0 |Ω |
282|  5B   | 17 |mid| -9  |   -3  |       |12|7 |3|46 |29 | 0 |Ω Ω |
290|  5Bd  | 20 |mid| -8  |   +4  |       |20|7 |3|50 |30 |-17|GRND Ω |
290|  5Bd  | 20 |mid| -8  |STN +10|       |20|7 |3|50 |30 |-17|GRND Ω Ω |
290|  5Bd  | 19 |mid| -9  |   +3  |       |20|7 |4|50 |31 |-18|GRND Ω Ω Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
292|  6BA  | 28 |high| -4  |   +0  |STN +0 |24|10|4|70 |42 | 5 |Ω |
292|  6BA  | 28 |high| -4  |STN +0 |       |24|10|4|70 |42 | 5 |Ω Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
292|  6BA  | 28 |high| -4  |   +0  |STN +0 |24|10|4|70 |42 | 5 |Ω |
292|  6BA  | 28 |high| -4  |STN +0 |       |24|10|4|70 |42 | 5 |Ω Ω |
293| 6BA.  | 0  |  | +0  |   +0  |       |  |10| |72 |-1 |-61| |
2:16 1:6 s:27 b:39 |
499|66[K]. | 0  |  | +0  |   +0  |       |  |10| |70 |-1 |-45| |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
294|  6BB  | 22 |mid| -8  |   +6  |       |18|22|3|53 |31 |-1 |TC[0-15] |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
300|  6Bd  | 12 |high| -20 |  -10  |       |20|7 |4|51 |39 |-32| |
FDO:p2:335| 6A+B  | 22 |mid| +9  |  +25  |       |12|22|4|34 |12 | 0 |TJ[20-32] TC[32-] |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
300|  6Bd  | 12 |high| -20 |  -10  |       |20|7 |4|51 |39 |-32| |
301| 6BdB  | 0  |  | +0  |   +0  |       |  |7 | |69 |-1 |-16| |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
300|  6Bd  | 12 |high| -20 |  -10  |       |20|7 |4|51 |39 |-32| |
302| 6BdK  | 15 |low| -14 |   +2  |       |16|4 |2|48 |33 | 7 | |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω Ω Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω |
291|  6B   | 18 |mid| -8  |   +0  |       |14|7 |2|52 |34 | 0 |TC[16-31] Ω Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω Ω |
297| 6[B]  | 24 |mid| -16 |   -2  |       |14|22|5|65 |41 |-23|TC[18-41] Ω Ω Ω |
299| 6[B]d | 13 |mid| -20 |   -6  |       |12|4 |11|61 |48 |-7 | |
303|  3B   | 19 |mid| -17 |LNC -9 |       |22|22|3|57 |38 | 0 |GRND Ω |
303|  3B   | 20 |mid| -16 |LNC -8 |       |22|22|2|57 |37 | 0 |GRND Ω Ω |
304|  2B   | 20 |mid| -6  |   +2  |       |22|14|2|48 |28 | 0 |TC[20-29] GRND Ω |
304|  2B   | 19 |mid| -7  |   +1  |       |22|14|3|48 |29 | 0 |TC[20-29] GRND Ω Ω |
305|  1B   | 28 |low| -6  |   +2  |       |18|22|2|55 |27 | 0 |TC[29-51] GRND Ω |
305|  1B   | 28 |low| -6  |   +2  |       |18|22|2|55 |27 | 0 |TC[29-51] GRND Ω Ω |
305|  1B   | 28 |low| -6  |   +2  |       |18|22|2|55 |27 | 0 |TC[29-51] GRND Ω |
305|  1B   | 28 |low| -6  |   +2  |       |18|22|2|55 |27 | 0 |TC[29-51] GRND Ω Ω |
306| 1[B]  | 28 |sl_31| -14 |   -8  |       |10|4 |2|65 |37 |-22|TC[29-51] GRND |
307| 1[B]. | 33 |smid| -9  |   -3  |       |10|6 |2|65 |32 |-21|TC[29-51] GRND Ω |
307| 1[B]. | 33 |smid| -9  |STN -3 |       |10|6 |2|65 |32 |-21|TC[29-51] GRND Ω Ω |
308|1[B].. | 36 |smid| -2  |STN +6 |       |10|12|2|69 |33 |-21|TC[0-51] Ω |
308|1[B].. | 11 |smid| -27 |STN -19|       |10|12|2|69 |58 |-46|TC[0-51] Ω Ω |
309|  4B   | 22 |high| -14 |   -6  |       |18|38|6|60 |38 | 0 |TC[13-19] Ω |
